Authors
Goncalves M.A.
Moreira B.L.
Fox E.A.
Watson L.T.
Arnold S.E.
Ferreira A.A.
Goncalves M.A.
Laender A.H.F.
Arif M.
Kanwal S.
Abascal-Mena R.
Rumpler B.
Ustymenko S.
Schwartz D.
Prud'homme C.
de Oliveira J.L.
Goncalves M.A.
Medeiros C.B.
Kakugawa H.
Nishikimi M.
Takahashi N.
Tomura S.
Handa K.
Arlitsch K.
Jonsson J.
Serrano-Guerrero J.
Herrera-Viedma E.
Olivas J.A.
Cerezo A.
Romero F.P.
Cakir M.
Vakali A.I.
Terzi E.D.
Tsolis D.K.
Sioutas S.
Papatheodorou T.S.
Copeland A.J.
Tan S.
Guobin H.
Yasser C.M.
Wei Z.
Lirong S.
Chunming L.
Pfeifer D.
Joorabchi A.
Mahdi A.E.
Bilotta E.
Fiorito M.
Iovane D.
Pantano P.
Song II S.
Kim Y.H.
Yoo J.S.
Chen A.-P.
Chen C.-C.
Mayr P.
Walter A.
de Campos L.M.
Fernaanddez-Luna J.M.
Huete J.F.
Martin-Dancausa C.J.
Tagua-Jimenez A.
Tur-Vigil C.
Zhu H.
Wang D.
Zhou W.
Liu X.
Cervone H.F.
Cota R.G.
Ferreira A.A.
Nascimento C.
Goncalves M.A.
Laender A.H.F.
Chen H.
Schatz B.
Ng T.
Martinez J.
Kirchhoff A.
Chienting L.
Ho Z.-P.
Seadle M.
Porcel C.
Lopez-Herrera A.G.
Herrera-Viedma E.
Lee D.
Kang J.
Mitra P.
Giles C.L.
On B.-W.
Lee B.
Saitou K.
Klobucar T.
Cho J.
Chen N.
Blostein D.
Svahnberg M.
Gorschek T.
Feldt R.
Torkar R.
Saleem S.B.
Shafique M.U.
Ferreira A.A.
Goncalves M.A.
Almeida J.M.
Laender A.H.F.
Veloso A.
Moreira B.L.
Goncalves M.A.
Laender A.H.F.
Fox E.A.
Ochoa X.
Duval E.
Yang C.C.
Luk J.
Asemi A.
Riyahiniya N.
Liu Y.Q.
Myers G.
Saunders S.
Rogers G.
Nicholson S.
Chen C.-C.
Yang K.-H.
Chen C.-L.
Ho J.-M.
Trussell A.
Helman D.L.
Prabhakar S.
Agrawal D.
El Abbadi A.
Singh A.
Smith T.
Lhee K.-S.
Chapin S.J.
Bjorner S.
Houhamdi Z.
Shuva N.Z.
Laxminarsaiah A.
Rajgoli I.U.
Jezequel F.
Chesneaux J.-M.
Woodward H.
Rowland F.
McKnight C.
Pritchett C.
Meadows J.
Chen Y.
Zhang R.
Li H.
Li R.
Gao Y.
[No author name available]
Ondari-Okemwa E.
Ashcroft L.
Watts C.
Zhuge H.
Joint N.
Kiselev A.V.
Wolf T.
Webster J.
Jung S.
Herlocker J.
Wu H.-C.
Chou C.
Ke H.-R.
Wang M.-H.
Robardet C.
Fleury E.
Takacs B.
Le Bourgeois F.
Emptoz H.
Trinh E.
Houhamdi Z.
Athamena B.
Walker H.M.
Kistler T.
Franz M.
Shi J.
Xing C.-X.
Zhou L.-Z.
Li C.
Zhou L.-Z.
Xing C.-X.
Gosina L.I.
Maslyak T.I.
Pogorelko K.P.
Yang C.C.
Wei C.-P.
Li K.W.
Graham-Cumming J.
Altenhoner R.
Porcel C.
Herrera-Viedma E.
Tani A.
Candela L.
Castelli D.
Chen R.-S.
Chen C.C.
Sacchanand C.
Jaroenpuntaruk V.
Roda C.
Murphy A.M.
Gentchev E.
Thomas J.
Saunders C.
SuKantarat W.
Barton J.
Gomez-Zermeno M.
Chang C.-H.
Hedberg J.G.
Witten I.H.
Yao L.
Zhao P.
Abrizah A.
Zainab A.N.
Jeevan V.K.J.
Churchill E.F.
Gaur R.C.
Tripathi M.
Belcher E.
Sexton E.
Ezeani C.N.
Peng H.-T.
Lu C.-Y.
Hsu W.
Ho J.-M.
Lu W.
Zhuang Y.
Wu J.
Shin D.
Choi J.
Wu L.
Hoi S.C.H.
Jin R.
Zhu J.
Yu N.
Warwick C.
Galina I.
Rimmer J.
Terras M.
Blandford A.
Gow J.
Buchanan G.
Westlind M.
Thangamani M.
Thangaraj P.
Sherlock N.
Trotman A.
Bonorino A.G.
Molteni V.E.
Ozek Y.H.
Bates M.L.
Strother E.A.
Brunet D.P.
Gallo III J.R.
Van Den Haak M.J.
De Jong M.D.T.
Schellens P.J.
Kovacevic A.
Devedzic V.
Pocajt V.
Mehler A.
Waltinger U.
Iwe J.I.
Liu G.
Hey T.
Hey J.
Kuzma J.
Miller L.
Blake M.
Sorsby M.
Monk J.
Pilkington A.
Pettigrew K.E.
Durrance J.C.
Unruh K.T.
Abirami S.
Manjula D.
Liu X.
Maly K.
Zubair M.
Hong Q.
Nelson M.L.
Knudson F.
Holtkamp I.
Castillo P.
Rieben R.
White D.
Saiso E.P.
Trushina I.
Buehler M.A.
Trauernicht M.S.
McNamara B.
Smaragdakis Y.
Kalleberg K.T.
Visser E.
Gravano L.
Garcia-Molina H.
Tomasic A.
Kousha K.
Thelwall M.
Khudair A.
Bawden D.
Xie H.
Frasconi P.
Soda G.
Vullo A.
Fang W.
Ortiz-Repiso V.
Bazan V.
Ponsati A.
Cottereau M.
Saeednia S.
Solli A.
Pandian M.P.
Jambhekar A.
Karisiddappa C.R.
Ghosh H.
Chaudhury S.
Arora C.
Nirankari P.
Gong Y.
Kim D.-H.
Trnkoczy J.
Stankovski V.
Tian Y.-H.
Huang T.-J.
Gao W.
Ashoor M.-S.
Chen K.
Lin P.
Horii C.
Imai M.
Chihara K.
Collins L.M.
Hussell J.A.T.
Hettinga R.K.
Powell J.E.
Mane K.K.
Martinez M.L.B.
Isaac A.
Schlobach S.
Matthezing H.
Zinn C.
Ding H.
Shen R.
Vemuri N.S.
Fan W.
Fox E.A.
Fast K.V.
Sedig K.
Hawick K.A.
Coddington P.D.
Alipour Hafezi M.
Kwasnik B.H.
Crowston K.
Lautenbach B.
Anaraki L.N.
Babalhavaeji F.
Hughes J.A.
Zhuang Y.
Lu W.
Wu J.
Ramzan M.
Kamraninia K.
Abrizah A.
Voutssas J.
Levitt J.M.
Iwhiwhu E.B.
Eden B.
Regli W.C.
Cicirello V.A.
Chen S.-J.
Chen H.-H.
Ashino T.
Safar M.
Shahabi C.
Zheng Z.
Xu W.
Song H.
Niu Z.
Kline V.
Manzuch Z.
Zainab A.N.
Chong C.Y.
Chaw L.T.
Memik G.
Kandemir M.T.
Liao W.-K.
Choudhary A.
Tuominen K.
Talja S.
Savolainen R.
Porter A.
Gardner J.
Krowne A.
Xiong L.
Pan B.
Gay G.
Saylor J.
Hembrooke H.
Fan X.
Wang J.
Pu X.
Zhou L.
Lv B.
Yang H.
Wang G.
Chen J.
Everitt S.
Prabhakar S.
Agrawal D.
El Abbadi A.
Adair II L.
Ledermann E.
Arulanandam S.
Jaganathan S.
Avula D.
Deng Z.-H.
Lai B.-Y.
Wang Z.-H.
Fang G.-D.
Gold A.U.
Ledley T.S.
Buhr S.M.
Fox S.
Mccaffrey M.
Niepold F.
Manduca C.
Lynds S.E.
Mohsenzadeh F.
Isfandyari-Moghaddam A.
Poll R.
Liu F.
Picard R.W.
Wang M.
Lau C.
Matsen III F.A.
Kim Y.
De Figueiredo H.F.
